v1,v2,,,
Not Interested,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",,,
Interested,I plane to give on this month end.,,,
Not Interested,Wah lucky man... Then can save money... Hee...,,,
Interested,Finished class where are you.,,,
Interested,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,,,
Not Interested,K..k:)where are you?how did you performed?,,,
More information,U can call me now...,,,
Not Interested,I am waiting machan. Call me once you free.,,,
Interested,Thats cool. i am a gentleman and will treat you with dignity and respect.,,,
Not Interested,I like you peoples very much:) but am very shy pa.,,,
Interested,Does not operate after  &lt;#&gt;  or what,,,
Not Interested,Its not the same here. Still looking for a job. How much do Ta's earn there.,,,
Interested,"Sorry, I'll call later",,,
Interested,K. Did you call me just now ah? ,,,
Not Interested,Ok i am on the way to home hi hi,,,
More information,You will be in the place of that man,,,
Not Interested,Yup next stop.,,,
Interested,"I call you later, don't have network. If urgnt, sms me.",,,
Not Interested,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,,,
Interested,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,,,
Not Interested,I'm really not up to it still tonight babe,,,
Interested,"Ela kano.,il download, come wen ur free..",,,
Interested,Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!,,,
Not Interested,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,,,
More information,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,,,
Not Interested,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
Interested,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,,,
Not Interested,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML", PO Box 5249," MK17 92H. 450Ppw 16""",
Interested,Watching telugu movie..wat abt u?,,,
Not Interested,i see. When we finish we have loads of loans to pay,,,
Interested,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",,,
Interested,Please don't text me anymore. I have nothing else to say.,,,
Not Interested,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,,,
More information,I'm still looking for a car to buy. And have not gone 4the driving test yet.,,,
Not Interested,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
Interested,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",,,
Not Interested,Umma my life and vava umma love you lot dear,,,
Interested,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,,,
Not Interested,"Aight, I'll hit you up when I get some cash",,,
Interested,How would my ip address test that considering my computer isn't a minecraft server,,,
Interested,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,,,
Not Interested,Dont worry. I guess he's busy.,,,
More information,What is the plural of the noun research?,,,
Not Interested,Going for dinner.msg you after.,,,
Interested,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,,,
Not Interested,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,,,
Interested,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",,,
Not Interested,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
Interested,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,,,
Interested,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,,,
Not Interested,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,,,
More information,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,,,
Not Interested,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",,,
Interested,here is my new address -apples&pairs&all that malarky,,,
Not Interested,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,,,
Interested,I am going to sao mu today. Will be done only at 12 ,,,
Not Interested,ÌÏ predict wat time Ì_'ll finish buying?,,,
Interested,"Good stuff, will do.",,,
Interested,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",,,
Not Interested,Are you there in room.,,,
More information,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,,,
Not Interested,K..k:)how much does it cost?,,,
Interested,I'm home.,,,
Not Interested,"Dear, will call Tmorrow.pls accomodate.",,,
Interested,First answer my question.,,,
Not Interested,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,,,
Interested,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,,,
Interested,I only haf msn. It's yijue@hotmail.com,,,
Not Interested,He is there. You call and meet him,,,
More information,No no. I will check all rooms befor activities,,,
Not Interested,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,,,
Interested,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,,,
Not Interested,"K, text me when you're on the way",,,
Interested,"Sir, Waiting for your mail.",,,
Not Interested,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",,,
Interested,I know you are. Can you pls open the back?,,,
Interested,Yes see ya not on the dot,,,
Not Interested,Whats the staff name who is taking class for us?,,,
More information,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",,,
Not Interested,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,,,
Interested,K..i deleted my contact that why?,,,
Not Interested,Sindu got job in birla soft ..,,,
Interested,The wine is flowing and i'm i have nevering..,,,
Not Interested,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,,,
Interested,Ok... Ur typical reply...,,,
Interested,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
Not Interested,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",,,
More information,Aaooooright are you at work?,,,
Not Interested,I'm leaving my house now...,,,
Interested,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",,,
Not Interested,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,,,
Interested,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,
Not Interested,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,,,
Interested,New car and house for my parents.:)i have only new job in hand:),,,
Interested,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,,,
Not Interested,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,,,
More information,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",,,
Not Interested,I place all ur points on e cultures module already.,,,
Interested,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,,,
Not Interested,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",,,
Interested,Great escape. I fancy the bridge but needs her lager. See you tomo ,,,
Not Interested,Yes :)it completely in out of form:)clark also utter waste.,,,
Interested,"Sir, I need AXIS BANK account no and bank address.",,,
Interested,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",,,
Not Interested,What time you coming down later? ,,,
More information,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",,,
Not Interested,"Well, i'm gonna finish my bath now. Have a good...fine night.",,,
Interested,Let me know when you've got the money so carlos can make the call,,,
Not Interested,U still going to the mall?,,,
Interested,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",,,
Not Interested,Text her. If she doesnt reply let me know so i can have her log in,,,
Interested,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,,,
Interested,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,,,
Not Interested,Lol no. U can trust me.,,,
More information,ok. I am a gentleman and will treat you with dignity and respect.,,,
Not Interested,"He will, you guys close?",,,
Interested,Going on nothing great.bye,,,
Not Interested,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,
Interested,"Haha awesome, be there in a minute",,,
Not Interested,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
Interested,Have you got Xmas radio times. If not i will get it now,,,
Interested,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,,,
Not Interested,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,,,
More information,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,,,
Not Interested,Hi :)finally i completed the course:),,,
Interested,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,,,
Not Interested,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,,,
Interested,Gud mrng dear hav a nice day,,,
Not Interested,Did u got that persons story,,,
Interested,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,,,
Interested,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,,,
Not Interested,"Found it, ENC  &lt;#&gt; , where you at?",,,
More information,I sent you  &lt;#&gt;  bucks,,,
Not Interested,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,,,
Interested,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,,,
Not Interested,Goodmorning sleeping ga.,,,
Interested,U call me alter at 11 ok.,,,
Not Interested,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,,,
Interested,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
Interested,"Aight yo, dats straight dogg",,,
Not Interested,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,,,
More information,Both :) i shoot big loads so get ready!,,,
Not Interested,"What's up bruv, hope you had a great break. Do have a rewarding semester.",,,
Interested,Home so we can always chat,,,
Not Interested,K:)k:)good:)study well.,,,
Interested,Yup... How Ì_ noe leh...,,,
Not Interested,Sounds great! Are you home now?,,,
Interested,Finally the match heading towards draw as your prediction.,,,
Interested,Tired. I haven't slept well the past few nights.,,,
Not Interested,Easy ah?sen got selected means its good..,,,
More information,I have to take exam with march 3,,,
Not Interested,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,,,
Interested,Ok no prob. Take ur time.,,,
Not Interested,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,,,
Interested,"Sorry, I'll call later",,,
Not Interested,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,,,
Interested,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",,,
Interested,Would really appreciate if you call me. Just need someone to talk to.,,,
Not Interested,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",,,
More information,Hey company elama po mudyadhu.,,,
Not Interested,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",,,
Interested,Dear good morning now only i am up,,,
Not Interested,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,,,
Interested,Dear we are going to our rubber place,,,
Not Interested,"Sorry battery died, yeah I'm here",,,
Interested,Yes:)here tv is always available in work place..,,,
Interested,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,,,
Not Interested,I have printed it oh. So  &lt;#&gt;  come upstairs,,,
More information,Or ill be a little closer like at the bus stop on the same street,,,
Not Interested,Where are you?when wil you reach here?,,,
Interested,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,
Not Interested,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,,,
Interested,Tomarrow final hearing on my laptop case so i cant.,,,
Not Interested,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,,,
Interested,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",,,
Interested,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",,,
Not Interested,U don't remember that old commercial?,,,
More information,Too late. I said i have the website. I didn't i have or dont have the slippers,,,
Not Interested,I asked you to call him now ok,,,
Interested,Kallis wont bat in 2nd innings.,,,
Not Interested,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,,,
Interested,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,,,
Not Interested,Ranjith cal drpd Deeraj and deepak 5min hold,,,
Interested,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
Interested,What you doing?how are you?,,,
Not Interested,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",,,
More information,"I'm back, lemme know when you're ready",,,
Not Interested,Don't necessarily expect it to be done before you get back though because I'm just now headin out,,,
Interested,Mmm so yummy babe ... Nice jolt to the suzy,,,
Not Interested,Where are you lover ? I need you ...,,,
Interested,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,,,
Not Interested,I‰Û÷m parked next to a MINI!!!! When are you coming in today do you think?,,,
Interested,Yup,,,
Interested,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,,,
Not Interested,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,,,
More information,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,,,
Not Interested,Why you Dint come with us.,,,
Interested,Same. Wana plan a trip sometme then,,,
Not Interested,"Not sure yet, still trying to get a hold of him",,,
Interested,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,,,
Not Interested,The evo. I just had to download flash. Jealous?,,,
Interested,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,,,
Interested,"Come to mu, we're sorting out our narcotics situation",,,
Not Interested,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",,,
More information,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
Not Interested,"Usf I guess, might as well take 1 car",,,
Interested,No objection. My bf not coming.,,,
Not Interested,Thanx...,,,
Interested,Tell rob to mack his gf in the theater,,,
Not Interested,"Awesome, I'll see you in a bit",,,
Interested,Just sent it. So what type of food do you like?,,,
Interested,All done? All handed in? Celebrations in full swing yet?,,,
Not Interested,You got called a tool?,,,
More information,\Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them," just Keep-in-touch\"" gdeve.."""
Not Interested,Ok. I asked for money how far,,,
Interested,Okie...,,,
Not Interested,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",,,
Interested,"K, I might come by tonight then if my class lets out early",,,
Not Interested,Ok..,,,
Interested,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,,,
Interested,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",,,
Not Interested,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",,,
More information,Hey you told your name to gautham ah?,,,
Not Interested,Haf u found him? I feel so stupid da v cam was working.,,,
Interested,Oops. 4 got that bit.,,,
Not Interested,Are you this much buzy,,,
Interested,I accidentally deleted the message. Resend please.,,,
Not Interested,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,,,
Interested,Unless it's a situation where YOU GO GURL would be more appropriate,,,
Interested,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,,,
Not Interested,I cant pick the phone right now. Pls send a message,,,
More information,Need a coffee run tomo?Can't believe it's that time of week already,,,
Not Interested,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",,,
Interested,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",,,
Not Interested,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,,,
Interested,He is a womdarfull actor,,,
Not Interested,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",,,
Interested,Yup... From what i remb... I think should be can book... ,,,
Interested,Jos ask if u wana meet up?,,,
Not Interested,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,,,
More information,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",,,
Not Interested,Where are the garage keys? They aren't on the bookshelf,,,
Interested,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,,,
Not Interested,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",,,
Interested,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,,,
Not Interested,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",,,
Interested,You made my day. Do have a great day too.,,,
Interested,K.k:)advance happy pongal.,,,
Not Interested,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",,,
More information,"Not really dude, have no friends i'm afraid :(",,,
Not Interested,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,,,
Interested,"Coffee cake, i guess...",,,
Not Interested,"Merry Christmas to you too babe, i love ya *kisses*",,,
Interested,Hey... Why dont we just go watch x men and have lunch... Haha ,,,
Not Interested,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,,,
Interested,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,,,
Interested,No problem. How are you doing?,,,
Not Interested,No calls..messages..missed calls,,,
More information,Hi da:)how is the todays class?,,,
Not Interested,"I'd say that's a good sign but, well, you know my track record at reading women",,,
Interested,"Cool, text me when you're parked",,,
Not Interested,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,,,
Interested,K.k:)apo k.good movie.,,,
Not Interested,Maybe i could get book out tomo then return it immediately ..? Or something.,,,
